flight_number,timestamp,altitude_baro,ground_speed,air_speed,latitude,longitude,track_angle,roll_angle,emergency,wind_direction,wind_speed,temperature,on_ground,lga_type,origin,destination
UAL709,7/1/2026 4:00:55 PM,5000,278.8,250,40.5856370000,-74.0371770000,32.5499992,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:56 PM,4075,279.3,250,40.7108160000,-73.9354910000,40.9399986,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:56 PM,4975,277.9,250,40.5861970000,-74.0367430000,32.6599998,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:56 PM,4075,279.3,250,40.7113040000,-73.9348140000,40.9399986,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:56 PM,4975,277.9,250,40.5867080000,-74.0362410000,32.6599998,-2.46,none,141,163,22,F,arrival,ORD,LGA
SWA4044,7/1/2026 4:00:57 PM,35000,472.5,,41.3282390000,-79.1838350000,97.9100037,,none,,,,F,arrival,MDW,LGA
UAL2133,7/1/2026 4:00:57 PM,18000,423.2,297,40.8773340000,-76.0632190000,109.8899994,-0.35,none,292,25,-2,F,arrival,IAH,LGA
AAL1046,7/1/2026 4:00:57 PM,4050,278.9,250,40.7117940000,-73.9342430000,42.3800011,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:57 PM,4950,277.9,250,40.5872500000,-74.0358280000,32.6599998,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:57 PM,4050,278.9,250,40.7121660000,-73.9338060000,42.3800011,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:57 PM,4950,278.5,250,40.5879190000,-74.0352420000,32.8300018,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:58 PM,4050,279.4,250,40.7126770000,-73.9331050000,43.9799995,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:58 PM,4925,278.5,250,40.5884400000,-74.0347900000,32.8300018,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:58 PM,4025,279.4,250,40.7130890000,-73.9325560000,43.9799995,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:58 PM,4925,278.5,250,40.5889890000,-74.0343060000,32.8300018,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:59 PM,4025,279.3,250,40.7135630000,-73.9318710000,45.7299995,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:59 PM,4925,278.5,250,40.5894080000,-74.0339310000,32.8300018,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:59 PM,4025,279.3,250,40.7139820000,-73.9313090000,45.7299995,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:59 PM,4900,277.7,250,40.5898740000,-74.0336190000,32.9500008,-2.46,none,141,163,22,F,arrival,ORD,LGA
